KARTE_QUAD,KARTE,QUADRANT,XLU,YLU,XRU,YRU,XRO,YRO,XLO,YLO,XQMITTE,YQMITTE,FLAECHE,FLAECHE_BY,PROZENT
54262,5426,2,4364179,5603210,4370084,5603057,4370220,5608617,4364323,5608771,4367199,5605912,32839610.196,3212206.7158,9.7815
54263,5426,3,4358123,5597801,4364035,5597649,4364179,5603210,4358274,5603363,4361150,5600504,32875030.482,9341473.69,28.4147
54264,5426,4,4364035,5597649,4369946,5597495,4370084,5603057,4364179,5603210,4367062,5600351,32874372.068,31907721.0368,97.0591
54271,5427,1,4370084,5603057,4375989,5602918,4376120,5608479,4370220,5608617,4373104,5605766,32837759.348,1041823.4188,3.1726
54273,5427,3,4369946,5597495,4375858,5597357,4375989,5602918,4370084,5603057,4372967,5600205,32872535.122,24840712.3152,75.5687
54274,5427,4,4375858,5597357,4381768,5597217,4381894,5602779,4375989,5602918,4378878,5600066,32871959.334,2313710.3715,7.0385
54334,5433,4,4446795,5596163,4452706,5596102,4452757,5601665,4446851,5601724,4449778,5598912,32861988.87,819580.0436,2.494
54343,5434,3,4452706,5596102,4458619,5596057,4458662,5601618,4452757,5601665,4455683,5598859,32861327.632,12216283.0361,37.1747
54344,5434,4,4458619,5596057,4464529,5596009,4464567,5601571,4458662,5601618,4461595,5598812,32861126.142,2414705.7151,7.3482
55244,5524,4,4340055,5587192,4345977,5587012,4346140,5592573,4340223,5592753,4343099,5589881,32948927.095,12205442.8902,37.0439
55252,5525,2,4352057,5592407,4357975,5592241,4358123,5597801,4352213,5597968,4355089,5595103,32911298.373,444415.9755,1.3503
55253,5525,3,4345977,5587012,4351901,5586847,4352057,5592407,4346140,5592573,4349016,5589708,32946729.399,3072635.2445,9.3261
55254,5525,4,4351901,5586847,4357824,5586679,4357975,5592241,4352057,5592407,4354940,5589542,32946018.747,19953522.667,60.5657
55261,5526,1,4357975,5592241,4363892,5592088,4364035,5597649,4358123,5597801,4361007,5594944,32909250.879,24614826.5865,74.7943
55262,5526,2,4363892,5592088,4369809,5591935,4369946,5597495,4364035,5597649,4366918,5594791,32908608.007,32908608.0066,100
55263,5526,3,4357824,5586679,4363749,5586527,4363892,5592088,4357975,5592241,4360857,5589383,32943984.781,32943984.7809,100
55264,5526,4,4363749,5586527,4369671,5586374,4369809,5591935,4363892,5592088,4366781,5589230,32943341.908,32943341.9081,100
55271,5527,1,4369809,5591935,4375727,5591796,4375858,5597357,4369946,5597495,4372836,5594645,32906760.171,32906760.1709,100
55272,5527,2,4375727,5591796,4381644,5591657,4381768,5597217,4375858,5597357,4378747,5594506,32906156.569,31201078.8276,94.8227
55273,5527,3,4369671,5586374,4375595,5586235,4375727,5591796,4369809,5591935,4372698,5589084,32941465.24,32941465.2395,100
55274,5527,4,4375595,5586235,4381518,5586095,4381644,5591657,4375727,5591796,4378622,5588945,32940861.638,32940861.6376,100
55281,5528,1,4381644,5591657,4387562,5591531,4387681,5597092,4381768,5597217,4384664,5594373,32904451.528,3639677.5205,11.0613
55283,5528,3,4381518,5586095,4387443,5585970,4387562,5591531,4381644,5591657,4384540,5588812,32939142.383,20454036.5387,62.0964
55284,5528,4,4387443,5585970,4393366,5585843,4393479,5591405,4387562,5591531,4390463,5588686,32938607.19,428220.9189,1.3001
55331,5533,1,4440821,5590661,4446739,5590601,4446795,5596163,4440883,5596221,4443810,5593410,32896393.704,239043.5856,0.7267
55332,5533,2,4446739,5590601,4452657,5590542,4452706,5596102,4446795,5596163,4449722,5593351,32896124.685,23570552.6689,71.6538
55333,5533,3,4440758,5585099,4446683,5585041,4446739,5590601,4440821,5590661,4443748,5587849,32931082.437,3738.8914,0.0114
55334,5533,4,4446683,5585041,4452606,5584980,4452657,5590542,4446739,5590601,4449672,5587790,32930813.419,26817536.1166,81.4332
55341,5534,1,4452657,5590542,4458575,5590495,4458619,5596057,4452706,5596102,4455639,5593298,32895449.941,32895449.9413,100
55342,5534,2,4458575,5590495,4464493,5590449,4464529,5596009,4458619,5596057,4461551,5593251,32895248.916,2787716.7705,8.4745
55343,5534,3,4452606,5584980,4458531,5584935,4458575,5590495,4452657,5590542,4455589,5587737,32930138.55,32930138.55,100
55344,5534,4,4458531,5584935,4464454,5584887,4464493,5590449,4458575,5590495,4461513,5587690,32929937.524,19453263.4692,59.0737
55353,5535,3,4464454,5584887,4470379,5584855,4470411,5590416,4464493,5590449,4467431,5587650,32929427.173,83589.9868,0.2538
55354,5535,4,4470379,5584855,4476303,5584820,4476329,5590383,4470411,5590416,4473356,5587617,32929309.034,356477.2693,1.0826
55363,5536,3,4476303,5584820,4482228,5584801,4482247,5590363,4476329,5590383,4479274,5587590,32928975.602,1801848.6253,5.4719
55364,5536,4,4482228,5584801,4488151,5584780,4488165,5590343,4482247,5590363,4485198,5587570,32928881.003,7675894.7589,23.3106
55373,5537,3,4488151,5584780,4494077,5584775,4494083,5590336,4488165,5590343,4491116,5587557,32928710.423,6344846.7074,19.2686
55374,5537,4,4494077,5584775,4500000,5584767,4500001,5590329,4494083,5590336,4497040,5587551,32928683.816,5914729.4232,17.9624
56241,5624,1,4333957,5581811,4339886,5581632,4340055,5587192,4334130,5587370,4337007,5584500,32983864.631,1724104.0994,5.2271
56242,5624,2,4339886,5581632,4345816,5581453,4345977,5587012,4340055,5587192,4342931,5584320,32983087.164,32147932.5445,97.4659
56243,5624,3,4333781,5576250,4339718,5576071,4339886,5581632,4333957,5581811,4336833,5578939,33018543.164,1824994.5249,5.5272
56244,5624,4,4339718,5576071,4345653,5575891,4345816,5581453,4339886,5581632,4342769,5578760,33017765.696,33017765.6962,100
56251,5625,1,4345816,5581453,4351746,5581286,4351901,5586847,4345977,5587012,4348860,5584147,32980879.186,32940818.0094,99.8801
56252,5625,2,4351746,5581286,4357675,5581119,4357824,5586679,4351901,5586847,4354784,5583981,32980170.196,32980170.1956,100
56253,5625,3,4345653,5575891,4351590,5575725,4351746,5581286,4345816,5581453,4348698,5578587,33015543.413,33015543.4127,100
56254,5625,4,4351590,5575725,4357525,5575558,4357675,5581119,4351746,5581286,4354634,5578421,33014834.422,33014834.4219,100
56261,5626,1,4357675,5581119,4363605,5580967,4363749,5586527,4357824,5586679,4360714,5583822,32978139.913,32978139.9132,100
